"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.564461625E0,6.053585089E-1,5.013864046E0,-4.196113980E-1,5.067678494E0
1.574432625E0,2.874176927E-1,5.332405152E0,-1.619889235E-1,5.342601805E0
1.584404625E0,-9.228711627E-2,5.547637652E0,-6.112679243E-3,5.548408582E0
1.594376625E0,-3.214337236E-1,5.761594874E0,2.004068846E-1,5.774033083E0
1.604347625E0,-4.174205194E-1,6.005733669E0,4.322238421E-1,6.035718204E0
1.614319625E0,-4.588787401E-1,6.203399963E0,5.372339880E-1,6.243505519E0
1.624290625E0,-3.248998799E-1,6.329447806E0,4.894230598E-1,6.356650407E0
1.634262625E0,5.245171711E-3,6.493853384E0,3.997986925E-1,6.506150804E0
1.644233625E0,3.754598766E-1,6.619236984E0,2.874134535E-1,6.636103891E0
1.654205625E0,7.242951145E-1,6.641393253E0,9.653927545E-2,6.681468969E0
1.664177625E0,1.042063730E0,6.673459969E0,-1.466434908E-1,6.755921039E0
1.674148625E0,1.287651612E0,6.682816683E0,-2.749056745E-1,6.811289057E0
1.684120625E0,1.290575950E0,6.567072219E0,-2.724814188E-1,6.698228865E0
1.694091625E0,1.159137998E0,6.392709417E0,-2.422899055E-1,6.501464373E0
1.704063625E0,9.823909210E-1,6.217764233E0,-1.440426493E-1,6.296541294E0
1.714034625E0,6.476197717E-1,5.956259792E0,4.567143202E-2,5.991538030E0
1.724006625E0,2.623149746E-1,5.675223897E0,3.308015478E-1,5.690905472E0
1.733978625E0,-3.431124218E-2,5.400625786E0,5.326228738E-1,5.426934979E0
1.743949625E0,-1.891641141E-1,5.094482532E0,6.938972676E-1,5.145000364E0
1.753921625E0,-3.106234278E-1,4.711154861E0,8.328516698E-1,4.794278772E0
1.763892625E0,-2.867312296E-1,4.372226268E0,9.083614433E-1,4.474784671E0
1.773864625E0,-8.749532305E-2,4.032310081E0,8.267845988E-1,4.117129193E0
1.783836625E0,1.660011733E-1,3.619262182E0,6.921852028E-1,3.688595327E0
1.793807625E0,3.932278473E-1,3.214665264E0,6.024514560E-1,3.294184066E0
1.803779625E0,6.568731366E-1,2.823088927E0,4.619885452E-1,2.935088895E0
1.813750625E0,8.521827109E-1,2.367255782E0,2.531446401E-1,2.528675052E0
1.823722625E0,9.503840666E-1,1.887319245E0,1.859531156E-1,2.121269046E0
1.833693625E0,9.230293299E-1,1.411053005E0,1.896906924E-1,1.696772314E0
1.843665625E0,8.572559745E-1,8.960705960E-1,2.079281946E-1,1.257403854E0
1.853637625E0,7.110345796E-1,3.757140112E-1,2.526196333E-1,8.429400161E-1
1.863608625E0,4.771953259E-1,-1.352519453E-1,3.887357970E-1,6.301777429E-1
1.873580625E0,2.632832370E-1,-6.495496452E-1,5.189111531E-1,8.720674224E-1
1.883551625E0,9.657835130E-2,-1.185130625E0,6.553090795E-1,1.357678889E0
1.893523625E0,-7.258227361E-2,-1.690401394E0,7.798268525E-1,1.863023075E0
1.903494625E0,-2.213939120E-1,-2.163371558E0,8.713381163E-1,2.342738115E0
1.913466625E0,-2.780558984E-1,-2.637998239E0,9.531090152E-1,2.818646233E0
1.923438625E0,-2.635675761E-1,-3.072138798E0,1.005551523E0,3.243245061E0
1.933409625E0,-2.267033848E-1,-3.480702467E0,9.596906412E-1,3.617691282E0
1.943381625E0,-1.926685880E-1,-3.898645654E0,9.262083149E-1,4.011785259E0
1.953352625E0,-8.670331769E-2,-4.274647933E0,9.260352373E-1,4.374662693E0
1.963324625E0,2.721016422E-2,-4.598582511E0,8.614644349E-1,4.678656054E0
1.973296625E0,1.028689686E-1,-4.924610392E0,8.016860104E-1,4.990497971E0
1.983267625E0,1.882900650E-1,-5.225125701E0,7.346195432E-1,5.279872879E0
1.993239625E0,2.447512544E-1,-5.473489110E0,6.849532934E-1,5.521607305E0
2.003210625E0,3.024403226E-1,-5.698000556E0,6.805399612E-1,5.746461096E0
2.013182625E0,2.871497806E-1,-5.931859946E0,6.423611514E-1,5.973445008E0
2.023153625E0,2.636570933E-1,-6.111936647E0,5.778172461E-1,6.144848038E0
2.033125625E0,2.651215468E-1,-6.228005632E0,5.699925021E-1,6.259651351E0
2.043097625E0,2.227066850E-1,-6.350294300E0,5.626530039E-1,6.379060618E0
2.053068625E0,1.232994142E-1,-6.443222929E0,5.670525221E-1,6.469302359E0
2.063040625E0,7.466150695E-2,-6.469404421E0,5.498547645E-1,6.493158567E0
2.073011625E0,1.408789767E-2,-6.482571182E0,5.622986627E-1,6.506927645E0
2.082983625E0,-3.331741652E-2,-6.471167942E0,5.552234586E-1,6.495028689E0
2.092954625E0,-1.305354897E-1,-6.394162450E0,5.630680832E-1,6.420233533E0
2.102926625E0,-2.035895423E-1,-6.284694972E0,5.988403253E-1,6.316442775E0
2.112898625E0,-2.331265512E-1,-6.150713627E0,6.040418621E-1,6.184698269E0
2.122869625E0,-2.576306423E-1,-5.973245369E0,6.189686342E-1,6.010753360E0
2.132841625E0,-3.029850821E-1,-5.722989802E0,6.300912809E-1,5.765537898E0
2.142812625E0,-3.131696344E-1,-5.480563656E0,6.724017334E-1,5.530531376E0
2.152784625E0,-2.625980164E-1,-5.192963676E0,6.909561912E-1,5.245307419E0
2.162755625E0,-1.818131773E-1,-4.865468729E0,6.903164327E-1,4.917558211E0
2.172727625E0,-9.617847484E-2,-4.525676503E0,6.679087329E-1,4.575707615E0
2.182699625E0,-2.863761574E-2,-4.149649665E0,6.502770388E-1,4.200389587E0
2.192670625E0,1.042244628E-1,-3.745566718E0,6.217683542E-1,3.798253370E0
2.202642625E0,2.974032752E-1,-3.293444216E0,5.796192483E-1,3.357258105E0
2.212613625E0,3.714842085E-1,-2.868142308E0,4.712633987E-1,2.930244018E0
2.222585625E0,4.371504137E-1,-2.391532252E0,4.159628085E-1,2.466485770E0
2.232556625E0,5.475521675E-1,-1.908415999E0,3.602960730E-1,2.017839999E0
2.242528625E0,5.241947337E-1,-1.437260810E0,2.757406751E-1,1.554519757E0
2.252500625E0,4.259281816E-1,-9.795325828E-1,1.946292142E-1,1.085716090E0
2.262471625E0,3.413271938E-1,-5.025447965E-1,1.342894936E-1,6.221649249E-1
2.272443625E0,2.937183234E-1,-1.308314502E-2,1.467206923E-1,3.285857327E-1
2.282414625E0,1.184071402E-1,4.459899420E-1,1.537209423E-1,4.863716761E-1
2.292386625E0,-5.983379032E-2,9.507449859E-1,1.666854072E-1,9.670988242E-1
2.302358625E0,-1.741847901E-1,1.412490250E0,2.312269735E-1,1.441851227E0
2.312329625E0,-1.801621063E-1,1.878429723E0,3.038645947E-1,1.911358234E0
2.322301625E0,-2.190038443E-1,2.383090627E0,3.590283966E-1,2.419914256E0
2.332272625E0,-1.315697343E-1,2.859379671E0,4.036256951E-1,2.890722470E0
2.342244625E0,6.163425766E-2,3.302820811E0,3.922306412E-1,3.326600212E0
2.352215625E0,2.527681891E-1,3.768691286E0,4.009044009E-1,3.798374667E0
2.362187625E0,4.141006165E-1,4.196004052E0,3.331720090E-1,4.229531051E0
2.372159625E0,6.207298887E-1,4.585031004E0,2.514752966E-1,4.633686947E0
2.382130625E0,8.190895168E-1,4.961132101E0,1.609627372E-1,5.030869543E0
2.392102625E0,8.194566489E-1,5.309718540E0,4.332494438E-2,5.372755087E0
2.402073625E0,7.697469105E-1,5.568846087E0,-6.214537740E-2,5.622136524E0
2.412045625E0,7.156372154E-1,5.811026065E0,-1.225482845E-1,5.856208555E0
2.422016625E0,5.348806299E-1,6.048966227E0,-1.399513342E-1,6.074181104E0
2.431988625E0,2.593650178E-1,6.200497990E0,-1.350297328E-1,6.207389030E0
2.441960625E0,8.185758390E-2,6.322677315E0,-9.468686840E-2,6.323916089E0
2.451931625E0,-4.207890272E-2,6.446901412E0,-4.052065630E-2,6.447166073E0
2.461903625E0,-1.577622637E-1,6.499053898E0,4.931479555E-2,6.501155470E0
2.471874625E0,-1.827579412E-1,6.543559980E0,9.674042881E-2,6.546826436E0
2.481846625E0,-6.596836008E-2,6.571301510E0,1.562580675E-1,6.573490088E0
2.491818625E0,1.173933792E-1,6.560536786E0,1.370464192E-1,6.563018044E0
2.501789625E0,2.530640582E-1,6.487940680E0,1.110099739E-1,6.493823134E0
2.511761500E0,4.881585263E-1,6.396416552E0,1.899698239E-2,6.415045155E0
2.521732500E0,6.671863825E-1,6.264117451E0,-7.386144340E-2,6.299981001E0
2.531704500E0,6.922793430E-1,6.072424672E0,-1.795077664E-1,6.114394093E0
2.541675500E0,6.463064139E-1,5.838140774E0,-2.797506773E-1,5.880464277E0
2.551647500E0,5.803723332E-1,5.577623343E0,-3.496459909E-1,5.618626747E0
2.561619500E0,3.977672967E-1,5.253052588E0,-3.963056024E-1,5.282976287E0
2.571590500E0,1.425300477E-1,4.897866397E0,-4.310129203E-1,4.918859847E0
2.581562500E0,-4.549360357E-2,4.534839090E0,-4.327869290E-1,4.555671165E0
2.591533500E0,-2.032320399E-1,4.141393397E0,-3.817413942E-1,4.163912706E0
2.601505500E0,-3.862148796E-1,3.699105327E0,-3.225628575E-1,3.733174112E0
2.611476500E0,-4.770440657E-1,3.267060410E0,-2.839314731E-1,3.313890741E0
2.621448500E0,-4.174860082E-1,2.846829792E0,-2.665354949E-1,2.889597827E0
2.631420500E0,-3.481410272E-1,2.390538225E0,-2.324017157E-1,2.426908679E0
2.641391500E0,-3.061114604E-1,1.930502687E0,-2.545246927E-1,1.971123453E0
2.651363500E0,-1.639410165E-1,1.484778208E0,-2.557227872E-1,1.515531962E0
2.661334500E0,-1.484651908E-2,9.930858439E-1,-3.220501663E-1,1.044105465E0
2.671306500E0,6.271475002E-2,5.096421468E-1,-3.771214360E-1,6.370940552E-1
2.681278500E0,6.304665260E-2,2.830344737E-2,-4.356362772E-1,4.410838147E-1
