"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.067431750E0,5.069622948E-1,-2.521222910E0,2.156277533E-1,2.580711348E0
2.077402750E0,3.854903365E-1,-2.367095568E0,1.867121025E-1,2.405536455E0
2.087374750E0,3.557695241E-1,-2.202796410E0,1.223658697E-1,2.234694024E0
2.097346750E0,3.406983988E-1,-2.020696573E0,8.214402437E-2,2.050862667E0
2.107317750E0,3.440552853E-1,-1.831768357E0,4.477446914E-2,1.864337444E0
2.117289750E0,3.392004152E-1,-1.639724745E0,1.018603239E-3,1.674441757E0
2.127261750E0,4.221091092E-1,-1.447393450E0,-4.912128925E-2,1.508488250E0
2.137232750E0,5.315977838E-1,-1.233307005E0,-5.155606985E-2,1.343986756E0
2.147204750E0,5.921910178E-1,-1.033818133E0,-3.509031057E-2,1.191931820E0
2.157176750E0,7.196470166E-1,-8.044523281E-1,-5.047784328E-2,1.080547727E0
2.167147750E0,8.496879964E-1,-5.898595136E-1,-4.007915497E-2,1.035137805E0
2.177119750E0,9.326441990E-1,-3.860004330E-1,6.272892952E-3,1.009386391E0
2.187091750E0,9.679825046E-1,-1.654300100E-1,6.014329533E-2,9.838569171E-1
2.197062750E0,1.027346727E0,3.730172753E-2,9.665564418E-2,1.032557519E0
2.207034750E0,1.028570476E0,2.544456822E-1,1.350005150E-1,1.068140894E0
2.217006750E0,9.282750133E-1,4.659365487E-1,1.923511755E-1,1.056309776E0
2.226977750E0,8.152057962E-1,6.729174578E-1,2.001455140E-1,1.075842285E0
2.236949750E0,6.739696643E-1,8.644944620E-1,1.692289460E-1,1.109154732E0
2.246921750E0,5.016748770E-1,1.054983299E0,1.613819826E-1,1.179284354E0
2.256892750E0,2.974404781E-1,1.249138341E0,1.210397029E-1,1.289755032E0
2.266864750E0,1.538915531E-1,1.454168034E0,4.593338728E-2,1.463009623E0
2.276836750E0,1.418600298E-2,1.631100102E0,-3.448103070E-2,1.631526196E0
2.286807750E0,-8.727641791E-2,1.825665033E0,-9.824608684E-2,1.830388560E0
2.296779750E0,-1.043137425E-1,2.009882732E0,-1.818074763E-1,2.020782995E0
2.306751750E0,-9.189696081E-2,2.183863125E0,-2.391955590E-1,2.198844632E0
2.316722750E0,-1.727252886E-2,2.365438467E0,-2.660424650E-1,2.380415106E0
2.326694750E0,1.109309634E-1,2.544830459E0,-2.557724154E-1,2.560056107E0
2.336666750E0,2.763752625E-1,2.705156434E0,-2.541632617E-1,2.731090182E0
